X;Y;ADRESSE_HA;ADRESSE_PL;ADRESSE_ST;OEFFNUNG;BEZEICHN_3;CATEGORY;LINKS_URL;;;
7.79005;47.99233;15;79111;Rimsinger Weg;Mi und Fr 14-15.30 Uhr;Kleiderkammer, Deutsches Rotes Kreuz;Flüchtlinge;http://www.drk-freiburg.de/angebote/hilfen_in_der_not/kleiderkammer.html;;;
7.8372647;47.9979172;58;79106;Guntramstraße;Mo, Di, Do, Fr 9.30-18.30 Uhr; Mi 9.30-13.00 Uhr; Sa 9.30-14.00 Uhr;;;;Flüchtlinge
7.8558194;47.9901601;14;79102;Schwarzwaldstraße;Mo-Fr 10-12 Uhr, nur nach Terminvereinbarung;Helferkreis für Mutter und Kind e.V.;Flüchtlinge;http://www.helferkreis-freiburg.de;;;
7.79359;47.99343;9;79111;Waltershofener Str.;Mo-Fr 10-18.30 Uhr, Sa 10-14 Uhr;Fairkauf - Gebrauchtwarenkaufhaus, Caritas;Flüchtlinge;http://www.caritas-freiburg.de/fairkauf;;;
7.82691;47.97889;30;79100;Oltmannsstr.;Mo-Fr 9.30-17.30 Uhr;Hand-2-Hand, Stadtmission;Flüchtlinge;http://www.stadtmission-freiburg.de/begegnung/marktplatz/holzwerkstatt/verkauf;;;
7.8532381;47.9976811;143;79098;Kaiser-Joseph-Straße;Mo-Do 8-16.30 Uhr, Fr. 8-15.30 Uhr;Amt für Kinder, Jugend und Familie;Flüchtlinge;;;;
7.8475068;47.988248;2;79100;Basler Str. 2;;Führerscheinstelle, Amt für Öffentliche Ordnung;Flüchtlinge;http://www.freiburg.de/buergerservice;;;
7.8455239;47.9862622;14;79100;Konradstraße;;Beratungsstellen Freier Träger: Jugendhilfswerk Freiburg e. V;Flüchtlinge;http://www.wi-jhw.de;;;
7.8494998;47.9897785;42;79102;Schillerstr. 42;Mo-Mi 10-13 Uhr; Do 14-16 Uhr;Freiburger Zentrum für Pädagogische Beratung e.V.;;;;http://www.paed-beratungsstelle.de
7.81535;48.0144;2;79110;Leisnerstraße;Mo-Do 8-12 Uhr und 14-16 Uhr; Fr 8 -12 Uhr;Psychologische Beratungsstelle für Eltern, Kinder und Jugendliche;;;;http://www.freiburg.de/erziehungsberatung
7.8118083;47.9945337;11;79114;Krozinger Straße;Mo, Di, Do, Fr 10-19 Uhr; Mi und Sa 10-14 Uhr;Spinnwebe - Second-Hand-Center, Diakonie;;;;http://www.die-spinnwebe.de
7.8505759;47.9946398;3;79098;Salzstraße;Mo-Fr 8-19 Uhr, Sa 8.30-16 Uhr;pluspunkt, Kundenzentrum der Freiburger Verkehrs AG (VAG);Flüchtlinge;http://www.vag-freiburg.de;;;
7.83231;48.00084;12;79106;Fehrenbachallee;Mo-Do 7.30-16.30 Uhr; Fr 7.30-15.30 Uhr;Amt für Soziales und Senioren;;;;
7.8478259;47.9859397;41;79102;Günterstalstr.;Mo-Fr 9-12 Uhr;Psychosoziale Beratung in Familienkrisen für Eltern, Kinder und Jugendliche;;http://www.psb-freiburg.de;;;
7.8481515;47.9883296;17;79102;Günterstalstraße;Mo-Do 8-12 Uhr und 14-16 Uhr; Fr 8 -12 Uhr;Psychologische Beratungsstelle für Eltern, Kinder und Jugendliche;;;;http://www.freiburg.de/erziehungsberatung
7.81535;48.0144;19b;79114;Krozingerstraße;Mo-Do 8-12 Uhr und 14-16 Uhr; Fr 8 -12 Uhr;Psychologische Beratungsstelle für Eltern, Kinder und Jugendliche;;;;http://www.freiburg.de/erziehungsberatung
7.8525555;47.9947333;19;79098;Schusterstraße;in der Regel am Di, Mi, Do 9-12 Uhr;Stadtseniorenrat Freiburg e. V.;Senioren und Seniorinnen;http://www.ssr-freiburg.de;;;
7.8567634;47.9898676;24;79102;Schwarzwaldstraße;Mo, Mi, Fr 9-11.30 UhrDi (Frauenfrühstück) 10-11.30 UhrDo (verschied. Angebote) 10-12.30 Uhr;FreiRaum - Hilfen für Frauen in Wohnungsnot;Frauen und Mädchen;http://www.diakonie-freiburg.de;;;
7.8371037;47.9843027;63;79100;Lorettostraße;nach telefonischer Vereinbarung;Diakonisches Werk Freiburg: Allgemeine Sozialberatung und Kurberatung;Ehe, Familien, Partnerschaft;http://www.diakonie-freiburg.de;;;
7.84026;47.98496;42;79100;Lorettostraße;Mo 10.30-12.30 Uhr;Frauen im Südwind Freiburg e. V.;Flüchtlinge;http://www.suedwind-freiburg.de;;;
7.8454405;47.9983177;17;79098;Colombistraße;Mo-Fr 9-12 Uhr;AIDS-Beratung für Frauen & Familien, SkF-Treff Freiburg;Frauen und Mädchen;http://www.skf-freiburg.de;;;
7.8316064;48.0028865;77;79106;Lehener Straße;Mo-Fr 9-12.30 Uhr, Do 15-18 Uhr;Welcome Center Freiburg Oberrhein;Ankommen in Freiburg;http://www.welcomecenter-freiburg-oberrhein.de/;;;
7.8567634;47.9898676;24;79102;Schwarzwaldstraße;;Äkumenisches Asylforum;Flüchtlinge;http://www.diakonie-freiburg.de;;;
7.84675;47.98812;8;79100;Basler Straße;Mi 9.30-12; Do 15-18 Uhr oder AB, baldiger Rückruf;Frauen- und MädchenGesundheits Zentrum Freiburg e. V. - FMGZ e. V.;;;;http://www.fmgz-freiburg.de
7.8532381;47.9976811;143;79098;Kaiser-Joseph-Straße;Mo-Do 8-16.30 Uhr; Fr 8-15.30 Uhr;Amt für Kinder, Jugend und Familie, Kommunaler Sozialer Dienst (KSD);;;;
7.8468543;47.9908542;12-16;79098;Schreiberstraße;Mo-Di 9-12 Uhr, Do 9-12 Uhr und 13.30-16 Uhr sowie nach telefonischer Terminvereinbarung;Studierendenwerk Freiburg;Studium;http://www.swfr.de;;;
7.84675;47.98812;8;79100;Basler Straße;Mo, Di, Do, Fr 10.30-12.30 Uhr; Mi 14-16 Uhr;Wildwasser e. V.;;;;http://www.wildwasser-freiburg.de
7.84675;47.98812;33;79106;Friedhofstraße;bei Bedarf;MigraZentrum e. V.;Frauen und Mädchen;http://www.migrazentrum-freiburg.de;;;
7.8541363;47.9922442;2;79098;Schwabentorring;Mo 13-16 Uhr; Di, Do, Fr 10-13 Uhr;Freiburger Freiwilligen Agentur;;;;http://www.freiwillige-freiburg.de
7.8251601;48.0104727;20;79110;Ensisheimer Straße;Mi 18-20 Uhr;Roma Büro Freiburg e. V.;Flüchtlinge;http://www.roma-buero-freiburg.eu;;;
7.849;47.99605;2-4;79098;Rathausplatz;nach Vereinbarung;Stelle zur Gleichberechtigung der Frau;Frauen und Mädchen;http://www.freiburg.de/frauenbeauftragte;;;
7.8371037;47.9843027;63;79100;Lorettostraße;nach telefonischer Vereinbarung;Diakonisches Werk Freiburg: Schwangeren- und Schwangerschaftskonfliktberatung;Frauen und Mädchen;http://www.diakonie-freiburg.de;;;
7.8894343;47.9862172;99;79117;Hansjakobstraße;Mo-Do 9-11 Uhr;Internationale Schule im Römerhof;Schule;http://www.internationale-schule-roemerhof.de;;;
7.8520221;48.0116545;346;79108;Zähringer Straße;Beratung nur Dienstagvormittag, nachmittags findet das internationale Frauencafé statt;Anlaufstelle für Frauen aus Nicht- EU-Ländern - Fachdienst Migration;Frauen und Mädchen;http://www.caritas-freiburg.de;;;
7.8225312;48.0062152;2;79114;Flurstraße;nach Vereinbarung;Rückkehr- und Perspektivberatung, Deutsches Rotes Kreuz Kreisverband Freiburg;Flüchtlinge;http://www.drk-freiburg.de;;;
7.79005;47.99233;15;79111;Rimsinger Weg;Telefonische Vereinbarung;Beratungsstelle für Suchdienst und Familienzusammenführung, Deutsches Rotes Kreuz;Flüchtlinge;http://www.drk-freiburg.de/angebote/migration_-_suchdienst/suchdienst.html;;;
7.8102699;47.9941531;7;79114;Krozingerstraße;derzeit nur nach telefonischer Vereinbarung;Diakonisches Werk Freiburg, Fachdienst für Migration und Flüchtlinge;Flüchtlinge;http://www.diakonie-freiburg.de;;;
7.8421043;47.9990077;;79005;Postfach 0543;jederzeit;Refugee Law Clinic Freiburg e. V.;Flüchtlinge;http://www.rlc-freiburg.org;;;
7.849;47.99605;2-4;79098;Rathausplatz;Mo-Fr 10-16 Uhr;Stabsstelle Bürgerschaftliches Engagement;Mitmachen, Mitgestalten, Mitentscheiden;http://www.freiburg.de/engagement;;;
7.8541363;47.9922442;2;79098;Schwabentorring;;MEMO- Regionale Koordinierungsstelle Freiburg;Mitmachen, Mitgestalten, Mitentscheiden;http://www.memo-bw.de;;;
7.857562;48.0047295;14;79104;Jacobistr.;Mo-Do 9-12 Uhr u. nach Vereinbarung;Geschäftsstelle des Migrantinnen-und Migrantenbeirates;Mitmachen, Mitgestalten, Mitentscheiden;http://www.migrantenbeirat-freiburg.de;;;
7.81946;47.97549;45;79100;Vaubanallee;;InZeitung;Kultur und Medien;http://www.inforum.info;;;
7.8429012;47.9918338;8;79098;Faulerstraße;Mo 13.30-16; Di, Mi 8.45-12.45 Uhr;Südwind Freiburg e. V.;;;;http://www.suedwind-freiburg.de
